request_id,customer_id,region_id,request_type,priority,channel,status,created_at,closed_at,resolution_hours,crew_id,satisfaction_score,repeat_contact,estimated_cost
1,1606,7,Vegetation,Critical,Web,Closed,2024-01-27 19:28:00,2024-01-29 05:28:00,34.0,20.0,4.0,0,408.29
2,521,2,Inspection,Medium,Field Report,Closed,2025-05-21 19:34:00,2025-05-27 13:34:00,138.0,139.0,4.0,0,328.93
3,5109,4,Vegetation,Medium,Field Report,In Progress,2026-01-05 04:53:00,,,82.0,,0,419.07
4,1607,5,Billing,High,Mobile App,Closed,2025-11-28 16:00:00,2025-11-29 23:00:00,31.0,,4.0,0,78.29
5,5122,1,Line Repair,Medium,Mobile App,In Progress,2024-01-31 21:57:00,,,100.0,,0,371.78
6,5076,5,Meter,Medium,Phone,Closed,2024-02-01 21:07:00,2024-02-02 14:07:00,17.0,139.0,3.0,0,299.39
7,2807,8,Line Repair,Low,Web,Closed,2025-06-20 12:29:00,2025-06-21 06:29:00,18.0,51.0,4.0,0,268.28
8,5009,2,Meter,Medium,Web,Closed,2025-11-30 17:47:00,2025-12-01 15:47:00,22.0,69.0,5.0,0,329.68
9,1821,6,Line Repair,Low,Phone,Closed,2024-12-14 12:10:00,2024-12-15 13:10:00,25.0,176.0,3.0,0,301.01
10,2686,7,Outage,High,Field Report,Closed,2024-07-01 10:24:00,2024-07-01 17:24:00,7.0,148.0,3.0,0,383.81
11,4827,1,Meter,Medium,Mobile App,Closed,2025-06-26 19:50:00,2025-06-28 00:50:00,29.0,27.0,4.0,0,295.85
12,4133,5,Outage,High,Mobile App,Closed,2025-01-09 00:41:00,2025-01-09 18:41:00,18.0,68.0,4.0,0,254.81
13,4577,1,Meter,Medium,Field Report,Closed,2025-11-27 09:52:00,2025-11-29 17:52:00,56.0,2.0,3.0,0,368.8
14,5146,3,Vegetation,High,Phone,Closed,2024-04-25 15:38:00,2024-04-26 11:38:00,20.0,13.0,3.0,0,367.72
15,5773,5,Meter,Low,Phone,Closed,2024-03-29 11:13:00,2024-04-01 20:13:00,81.0,23.0,4.0,0,339.59
16,3717,2,Outage,High,Web,Closed,2024-04-19 06:46:00,2024-04-19 13:46:00,7.0,159.0,3.0,0,285.21
17,3437,5,Billing,High,Phone,In Progress,2024-08-31 13:28:00,,,,,1,215.14
18,5086,8,Meter,High,Phone,In Progress,2024-10-17 02:02:00,,,46.0,,0,191.33
19,5044,3,Billing,Critical,Field Report,Closed,2025-07-28 01:38:00,2025-07-28 20:38:00,19.0,,4.0,0,59.08
20,3916,6,Outage,Medium,Web,In Progress,2025-06-10 16:35:00,,,90.0,,0,442.79
21,1122,2,Streetlight,Medium,Field Report,In Progress,2025-03-02 01:20:00,,,150.0,,0,274.47
22,3685,7,Vegetation,Low,Web,Closed,2024-05-21 15:45:00,2024-05-25 13:45:00,94.0,87.0,4.0,0,437.8
23,5484,4,Meter,Medium,Field Report,Closed,2025-01-07 10:50:00,2025-01-08 17:50:00,31.0,158.0,4.0,0,250.43
24,4113,4,Outage,Critical,Phone,Escalated,2024-03-25 22:27:00,,,7.0,,0,423.13
25,52,8,Line Repair,Low,Mobile App,Closed,2025-01-16 20:14:00,2025-01-19 01:14:00,53.0,60.0,4.0,1,440.32
26,1937,4,Outage,High,Phone,Closed,2024-11-29 10:04:00,2024-11-29 18:04:00,8.0,83.0,3.0,0,382.53
27,277,8,Billing,Medium,Field Report,Closed,2025-07-22 23:11:00,2025-07-27 14:11:00,111.0,,4.0,0,260.82
28,2330,1,Line Repair,Medium,Field Report,Escalated,2025-01-30 18:39:00,,,126.0,,0,423.97
29,5656,5,Streetlight,Low,Field Report,Pending,2025-10-14 14:46:00,,,165.0,,0,323.09
30,53,6,Outage,High,Web,Pending,2025-01-12 09:13:00,,,18.0,,0,171.12
31,1417,7,Inspection,High,Phone,In Progress,2026-01-24 04:12:00,,,33.0,,0,382.14
32,1174,3,Line Repair,Medium,Mobile App,Closed,2025-10-01 02:03:00,2025-10-02 13:03:00,35.0,3.0,4.0,0,277.24
33,4257,3,Meter,Low,Web,Closed,2024-07-27 22:35:00,2024-07-29 14:35:00,40.0,7.0,5.0,0,379.59
34,3864,2,Billing,High,Field Report,Closed,2024-06-30 05:57:00,2024-07-01 11:57:00,30.0,,4.0,0,128.74
35,2133,5,Inspection,Medium,Mobile App,Closed,2025-05-10 04:24:00,2025-05-14 15:24:00,107.0,147.0,3.0,0,320.51
36,2666,5,Outage,Low,Field Report,Closed,2025-01-26 21:35:00,2025-01-27 10:35:00,13.0,27.0,3.0,0,376.65
37,4501,6,Line Repair,High,Phone,Closed,2025-10-22 15:11:00,2025-10-23 05:11:00,14.0,176.0,4.0,0,328.89
38,3629,3,Line Repair,High,Web,Closed,2024-01-30 10:11:00,2024-01-30 16:11:00,6.0,148.0,4.0,0,319.16
39,5037,3,Meter,Medium,Web,In Progress,2024-04-13 23:27:00,,,169.0,,0,335.48
40,618,6,Inspection,Low,Web,Closed,2024-08-30 05:20:00,2024-09-03 09:20:00,100.0,180.0,5.0,0,365.71
41,4732,1,Line Repair,Medium,Mobile App,Closed,2025-07-23 09:17:00,2025-07-24 06:17:00,21.0,126.0,4.0,0,177.31
42,3794,2,Inspection,High,Web,Closed,2024-06-14 12:18:00,2024-06-16 12:18:00,48.0,6.0,4.0,0,571.69
43,2139,3,Line Repair,Medium,Field Report,Closed,2025-09-17 22:46:00,2025-09-18 14:46:00,16.0,115.0,4.0,0,346.88
44,4770,5,Billing,Low,Web,Open,2025-03-26 02:10:00,,,,,0,222.85
45,4882,7,Billing,Medium,Field Report,Closed,2026-01-06 03:13:00,2026-01-09 03:13:00,72.0,,5.0,0,38.16
46,2678,7,Outage,Critical,Web,In Progress,2024-05-13 04:01:00,,,26.0,,0,223.83
47,2985,3,Billing,High,Phone,Open,2025-07-15 06:11:00,,,,,1,317.14
48,4541,7,Billing,High,Field Report,In Progress,2025-06-15 16:32:00,,,,,0,69.03
49,5601,6,Meter,High,Mobile App,Closed,2025-11-14 16:22:00,2025-11-15 18:22:00,26.0,164.0,4.0,0,210.44
50,499,8,Line Repair,Critical,Phone,Escalated,2024-07-25 00:17:00,,,61.0,,0,254.39
51,5288,3,Outage,Medium,Mobile App,Closed,2024-04-22 14:04:00,2024-04-23 02:04:00,12.0,42.0,3.0,0,489.49
52,5964,8,Vegetation,Critical,Phone,Closed,2024-01-24 04:41:00,2024-01-25 00:41:00,20.0,151.0,4.0,0,423.22
53,5440,5,Outage,Low,Field Report,Closed,2024-10-10 20:55:00,2024-10-11 05:55:00,9.0,50.0,4.0,1,467.64
54,1609,8,Streetlight,Medium,Field Report,Closed,2024-03-25 06:43:00,2024-03-26 12:43:00,30.0,24.0,4.0,0,373.39
55,944,5,Outage,Low,Web,Closed,2026-01-19 04:07:00,2026-01-20 03:07:00,23.0,31.0,3.0,0,231.16
56,5738,2,Streetlight,Medium,Web,In Progress,2024-02-24 03:38:00,,,173.0,,1,376.73
57,924,2,Billing,Low,Web,Closed,2024-02-12 03:39:00,2024-02-15 18:39:00,87.0,,4.0,0,58.8
58,5923,7,Meter,High,Field Report,Closed,2024-09-11 06:59:00,2024-09-12 12:59:00,30.0,55.0,4.0,1,285.71
59,4685,6,Outage,,Web,Closed,2025-07-03 00:42:00,2025-07-03 23:42:00,23.0,167.0,4.0,0,242.78
