donor_id,date,donation_amount,source_system,source_category,amount_missing_flag
donor_0,,,donation_great_futures_2024,donation,True
donor_1,,,donation_great_futures_2024,donation,True
donor_2,,,donation_great_futures_2024,donation,True
donor_3,,,donation_great_futures_2024,donation,True
donor_4,,,donation_great_futures_2024,donation,True
donor_5,,,donation_great_futures_2024,donation,True
donor_6,,,donation_great_futures_2024,donation,True
donor_7,,,donation_great_futures_2024,donation,True
donor_8,,,donation_great_futures_2024,donation,True
donor_9,,,donation_great_futures_2024,donation,True
donor_10,,,donation_great_futures_2024,donation,True
donor_11,,,donation_great_futures_2024,donation,True
donor_12,,,donation_great_futures_2024,donation,True
donor_13,,,donation_great_futures_2024,donation,True
donor_14,,,donation_great_futures_2024,donation,True
donor_15,,,donation_great_futures_2024,donation,True
donor_16,,,donation_great_futures_2024,donation,True
donor_17,,,donation_great_futures_2024,donation,True
donor_18,,,donation_great_futures_2024,donation,True
donor_19,,,donation_great_futures_2024,donation,True
donor_20,,,donation_great_futures_2024,donation,True
donor_21,,,donation_great_futures_2024,donation,True
donor_22,,,donation_great_futures_2024,donation,True
donor_23,,,donation_great_futures_2024,donation,True
donor_24,,,donation_great_futures_2024,donation,True
donor_25,,,donation_great_futures_2024,donation,True
donor_26,,,donation_great_futures_2024,donation,True
donor_27,,,donation_great_futures_2024,donation,True
donor_28,,,donation_great_futures_2024,donation,True
donor_29,,,donation_great_futures_2024,donation,True
donor_30,,,donation_great_futures_2024,donation,True
donor_31,,,donation_great_futures_2024,donation,True
donor_32,,,donation_great_futures_2024,donation,True
donor_33,,,donation_great_futures_2024,donation,True
donor_34,,,donation_great_futures_2024,donation,True
donor_35,,,donation_great_futures_2024,donation,True
donor_36,,,donation_great_futures_2024,donation,True
donor_37,,,donation_great_futures_2024,donation,True
donor_38,,,donation_great_futures_2024,donation,True
donor_39,,,donation_great_futures_2024,donation,True
donor_40,,,donation_great_futures_2024,donation,True
donor_41,,,donation_great_futures_2024,donation,True
donor_42,,,donation_great_futures_2024,donation,True
donor_43,,,donation_great_futures_2024,donation,True
donor_44,,,donation_great_futures_2024,donation,True
donor_45,,,donation_great_futures_2024,donation,True
donor_46,,,donation_great_futures_2024,donation,True
donor_47,,,donation_great_futures_2024,donation,True
donor_48,,,donation_great_futures_2024,donation,True
donor_49,,,donation_great_futures_2024,donation,True
donor_50,,,donation_great_futures_2024,donation,True
donor_51,,,donation_great_futures_2024,donation,True
donor_52,,,donation_great_futures_2024,donation,True
donor_53,,,donation_great_futures_2024,donation,True
donor_54,,,donation_great_futures_2024,donation,True
donor_55,,,donation_great_futures_2024,donation,True
donor_56,,,donation_great_futures_2024,donation,True
donor_57,,,donation_great_futures_2024,donation,True
donor_58,,,donation_great_futures_2024,donation,True
donor_59,,,donation_great_futures_2024,donation,True
donor_60,,,donation_great_futures_2024,donation,True
donor_61,,,donation_great_futures_2024,donation,True
donor_62,,,donation_great_futures_2024,donation,True
donor_63,,,donation_great_futures_2024,donation,True
donor_64,,,donation_great_futures_2024,donation,True
donor_65,,,donation_great_futures_2024,donation,True
donor_66,,,donation_great_futures_2024,donation,True
donor_67,,,donation_great_futures_2024,donation,True
donor_68,,,donation_great_futures_2024,donation,True
donor_69,,,donation_great_futures_2024,donation,True
donor_70,,,donation_great_futures_2024,donation,True
donor_71,,,donation_great_futures_2024,donation,True
donor_72,,,donation_great_futures_2024,donation,True
donor_73,,,donation_great_futures_2024,donation,True
donor_74,,,donation_great_futures_2024,donation,True
donor_75,,,donation_great_futures_2024,donation,True
donor_76,,,donation_great_futures_2024,donation,True
donor_77,,,donation_great_futures_2024,donation,True
donor_78,,,donation_great_futures_2024,donation,True
donor_79,,250.0,donation_great_futures_2024,donation,False
donor_80,,400.0,donation_great_futures_2024,donation,False
donor_81,,200.0,donation_great_futures_2024,donation,False
donor_82,,100.0,donation_great_futures_2024,donation,False
donor_83,,500.0,donation_great_futures_2024,donation,False
donor_84,,250.0,donation_great_futures_2024,donation,False
donor_85,,100.0,donation_great_futures_2024,donation,False
donor_86,,10.0,donation_great_futures_2024,donation,False
donor_87,,2000.0,donation_great_futures_2024,donation,False
donor_88,,150.0,donation_great_futures_2024,donation,False
donor_89,,75.0,donation_great_futures_2024,donation,False
donor_90,,50.0,donation_great_futures_2024,donation,False
donor_91,,50.0,donation_great_futures_2024,donation,False
donor_92,,50.0,donation_great_futures_2024,donation,False
donor_93,,100.0,donation_great_futures_2024,donation,False
donor_94,,50.0,donation_great_futures_2024,donation,False
donor_95,,50.0,donation_great_futures_2024,donation,False
donor_96,,1000.0,donation_great_futures_2024,donation,False
donor_97,,100.0,donation_great_futures_2024,donation,False
donor_98,,50.0,donation_great_futures_2024,donation,False
donor_99,,400.0,donation_great_futures_2024,donation,False
donor_100,,50.0,donation_great_futures_2024,donation,False
donor_101,,300.0,donation_great_futures_2024,donation,False
donor_102,,100.0,donation_great_futures_2024,donation,False
donor_103,,5000.0,donation_great_futures_2024,donation,False
donor_104,,350.0,donation_great_futures_2024,donation,False
donor_105,,400.0,donation_great_futures_2024,donation,False
donor_106,,100.0,donation_great_futures_2024,donation,False
donor_107,,200.0,donation_great_futures_2024,donation,False
donor_108,,250.0,donation_great_futures_2024,donation,False
donor_109,,50.0,donation_great_futures_2024,donation,False
donor_110,,100.0,donation_great_futures_2024,donation,False
donor_111,,250.0,donation_great_futures_2024,donation,False
donor_112,,100.0,donation_great_futures_2024,donation,False
donor_113,,200.0,donation_great_futures_2024,donation,False
donor_114,,,donation_great_futures_2024,donation,True
donor_115,,50.0,donation_great_futures_2024,donation,False
donor_116,,1000.0,donation_great_futures_2024,donation,False
donor_117,,100.0,donation_great_futures_2024,donation,False
donor_118,,25.0,donation_great_futures_2024,donation,False
donor_119,,250.0,donation_great_futures_2024,donation,False
