items_purchased__2023,unnamed_1,unnamed_2,unnamed_3,source_system,source_category
Live Auction,,,,fundraising_auction_sold_items,donation
Items,Value,Purchase Amount,# of Bidders,fundraising_auction_sold_items,donation
Outdoor Adventure,,800,,fundraising_auction_sold_items,donation
Collectible Coins,,1350,,fundraising_auction_sold_items,donation
Park Outdoor,,1000,,fundraising_auction_sold_items,donation
Yankees Tickets,,1350,,fundraising_auction_sold_items,donation
PS Restaurant,,950,,fundraising_auction_sold_items,donation
Mountain Creek,,850,,fundraising_auction_sold_items,donation
Dinner & Shows,,1150,,fundraising_auction_sold_items,donation
Geneganslet,,1200,,fundraising_auction_sold_items,donation
Lost Dog Party,,1050,,fundraising_auction_sold_items,donation
Camp Sertoma,,900,,fundraising_auction_sold_items,donation
McIntosh,,4000,,fundraising_auction_sold_items,donation
McIntosh,,4000,,fundraising_auction_sold_items,donation
High End Wine,,1300,,fundraising_auction_sold_items,donation
Shop & Dine,,2200,,fundraising_auction_sold_items,donation
Chestnut Inn,,700,,fundraising_auction_sold_items,donation
Party on the Go,,950,,fundraising_auction_sold_items,donation
Dine in/out,,1250,,fundraising_auction_sold_items,donation
Bag of Money,,1550,,fundraising_auction_sold_items,donation
,,,,fundraising_auction_sold_items,donation
Silent Auction,,,,fundraising_auction_sold_items,donation
Items,Value,Purchase Amount,# of Bidders,fundraising_auction_sold_items,donation
Riverwalk Athletic & Baseball Hall of Fame Passes,90,45,1,fundraising_auction_sold_items,donation
Midtown tent rental,200,100,1,fundraising_auction_sold_items,donation
Rochester museum 4 passes,80,40,1,fundraising_auction_sold_items,donation
Warehouse Carpet gift card,200,100,1,fundraising_auction_sold_items,donation
Dewalt Drill Kit,180,125,1,fundraising_auction_sold_items,donation
Binghamton Philharmonica,400,200,1,fundraising_auction_sold_items,donation
Barney & Dickinson Gift Card,100,50,1,fundraising_auction_sold_items,donation
Perry Ellis Portfolio & Travel kit,100,50,1,fundraising_auction_sold_items,donation
"Mugs, Hot Cocoa Basket",125,60,1,fundraising_auction_sold_items,donation
White Shirt,80,40,1,fundraising_auction_sold_items,donation
Holiday Décor,60,30,1,fundraising_auction_sold_items,donation
Goldsmith Purse,350,170,1,fundraising_auction_sold_items,donation
Ti-ahwaga 4 tickets,100,50,1,fundraising_auction_sold_items,donation
Michael Kors Purse,600,300,1,fundraising_auction_sold_items,donation
Our Country Hearts GC & Creative Beginnings GC,55,25,1,fundraising_auction_sold_items,donation
"Basletball, backpack, & clothes",150,75,1,fundraising_auction_sold_items,donation
Pickeleball lesson & equipment,170,95,2,fundraising_auction_sold_items,donation
Instant Air Purifier,150,110,2,fundraising_auction_sold_items,donation
Lupo's Cooler & Products,90,60,2,fundraising_auction_sold_items,donation
Dick's Open & Gift Card,150,160,2,fundraising_auction_sold_items,donation
Shark Vacuum,349,180,2,fundraising_auction_sold_items,donation
Megablocks,,25,2,fundraising_auction_sold_items,donation
Oggie Wine Case,150,140,2,fundraising_auction_sold_items,donation
