golf_signs__returning,unnamed_1,unnamed_2,golf_signs__new,unnamed_5,unnamed_6,source_system,source_category
,,,,,,registration_signs,registration
Business Name,Letter Sent (yes/no),Payment Received (date),Business Name,Letter Sent (yes/no),Payment Received (date),registration_signs,registration
,,,,,,registration_signs,registration
Audio Classics,Yes,Sending Check via Steve,Panko Electric,,2024-05-02 00:00:00,registration_signs,registration
America's Attic,Yes,,Mattick CPA,,2024-04-30 00:00:00,registration_signs,registration
B&GC Foundation,Yes,,"Levene, Gouldin, Thompson",,Paid,registration_signs,registration
Boland's (1),Yes,,Northestern Plate Glass,,Paid,registration_signs,registration
Boland's (2),Yes,,,,,registration_signs,registration
Broadway Theatre League,Yes,2024-03-12 00:00:00,,,,registration_signs,registration
Chemung Canal,Yes,,,,,registration_signs,registration
Dick's Sporting Goods,Yes,Sponsorship,,,,registration_signs,registration
D.P. Dough,,,,,,registration_signs,registration
Eastern Staffing & Recruiting,Yes,Sent Email,,,,registration_signs,registration
Ellis Brothers,Yes,2024-06-13 00:00:00,,,,registration_signs,registration
Eck Plastic Arts,,2024-06-03 00:00:00,,,,registration_signs,registration
Gault Toyota,Yes,,,,,registration_signs,registration
GHS,Yes,,,,,registration_signs,registration
Great Choice Landscapers,Yes,Sent Email,,,,registration_signs,registration
Harding Brooks Ins.,Yes,Sent Email,,,,registration_signs,registration
Hatala Orthodontics,Yes,2024-02-22 00:00:00,,,,registration_signs,registration
HH&K,Yes,2024-05-05 00:00:00,,,,registration_signs,registration
Huff Family,Yes,2024-02-09 00:00:00,,,,registration_signs,registration
Jackson Bergman,Yes,,,,,registration_signs,registration
Mancini,Yes,Sponsor,,,,registration_signs,registration
National Floor,Yes,Paid,,,,registration_signs,registration
NBT,Yes,Sponsor,,,,registration_signs,registration
Park Outdoor,Yes,2024-02-09 00:00:00,,,,registration_signs,registration
People's Security Bank,Yes,,,,,registration_signs,registration
Piaker & Lyons,Yes,2024-02-15 00:00:00,,,,registration_signs,registration
Rogers Service Group,Yes,2024-02-16 00:00:00,,,,registration_signs,registration
Security Mutual,Yes,2024-03-22 00:00:00,,,,registration_signs,registration
Sepco Incorporated,Yes,2024-02-25 00:00:00,,,,registration_signs,registration
Serafini Transportation,Yes,Paid,,,,registration_signs,registration
Slavik & Co,Yes,2024-02-20 00:00:00,,,,registration_signs,registration
Tioga Downs,Yes,Paid,,,,registration_signs,registration
Vieira,Yes,,,,,registration_signs,registration
Vacri Construction,Yes,2024-06-03 00:00:00,,,,registration_signs,registration
Wayne Bank,Yes,2024-05-09 00:00:00,,,,registration_signs,registration
